"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Nichtdeutsche","insgesamt",2024,"23 Allach - Untermenzing",26.9,9756,36230,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2024,"24 Feldmoching - Hasenbergl",35.2,22470,63756,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2024,"25 Laim",31.7,18122,57116,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"Stadt München",30.1,477855,1589026,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"01 Altstadt - Lehel",25.3,5274,20860,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"02 Ludwigsvorstadt - Isarvorstadt",26.5,13197,49876,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"03 Maxvorstadt",26.5,13782,51945,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"04 Schwabing - West",23.9,16344,68254,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"05 Au - Haidhausen",24,15274,63583,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"06 Sendling",27.9,11380,40790,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"07 Sendling - Westpark",31.2,19350,62065,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"08 Schwanthalerhöhe",32.3,9279,28732,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"09 Neuhausen - Nymphenburg",26.2,26256,100396,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"10 Moosach",34,18976,55851,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"11 Milbertshofen - Am Hart",43.1,33206,76971,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"12 Schwabing - Freimann",30.3,23352,76986,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"13 Bogenhausen",28.2,26602,94337,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"14 Berg am Laim",34.5,16216,47037,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"15 Trudering - Riem",24.9,18893,75728,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"16 Ramersdorf - Perlach",35.9,43129,120085,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"17 Obergiesing - Fasangarten",32.2,17329,53795,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"18 Untergiesing - Harlaching",25.1,13542,53909,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",30.7,31316,101992,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"20 Hadern",31.2,16041,51446,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"21 Pasing - Obermenzing",26.2,21321,81246,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"22 Aubing - Lochhausen - Langwied",33,18978,57502,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"23 Allach - Untermenzing",26.2,9405,35918,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"24 Feldmoching - Hasenbergl",34.5,21746,63006,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2023,"25 Laim",31.1,17667,56716,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"Stadt München",30.1,478314,1588330,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"01 Altstadt - Lehel",25.8,5362,20808,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"02 Ludwigsvorstadt - Isarvorstadt",27.9,14199,50915,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"03 Maxvorstadt",27.1,14171,52269,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"04 Schwabing - West",24.1,16545,68603,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"05 Au - Haidhausen",24.3,15418,63383,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"06 Sendling",27.8,11398,41011,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"07 Sendling - Westpark",31,19127,61702,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"08 Schwanthalerhöhe",32.4,9386,28986,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"09 Neuhausen - Nymphenburg",26.2,26329,100495,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"10 Moosach",34,18957,55761,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"11 Milbertshofen - Am Hart",43.1,33196,77002,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"12 Schwabing - Freimann",32.3,25538,79092,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"13 Bogenhausen",27.6,26017,94317,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"14 Berg am Laim",34.5,16243,47148,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"15 Trudering - Riem",25,18988,75998,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"16 Ramersdorf - Perlach",35.9,42875,119572,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"17 Obergiesing - Fasangarten",32.6,17602,53964,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"18 Untergiesing - Harlaching",25.5,13777,54068,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",30.2,30516,101087,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Nichtdeutsche","insgesamt",2022,"20 Hadern",30.8,15789,51239,NA,NA,NA,"Hauptwohnsitzbevölkerung (nichtdeutsch)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
