"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Haushalte mit Kindern","deutsch",2023,"Stadt München",14.1,79222,563829,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"01 Altstadt - Lehel",11.3,1011,8959,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",11.7,2498,21352,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"03 Maxvorstadt",9,2070,23123,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"04 Schwabing - West",12.1,3573,29437,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"05 Au - Haidhausen",13.9,3673,26445,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"06 Sendling",11.7,1988,16929,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"07 Sendling - Westpark",12.4,2776,22437,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"08 Schwanthalerhöhe",11.9,1292,10878,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"09 Neuhausen - Nymphenburg",13.5,5358,39634,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"10 Moosach",13.4,2410,17986,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"11 Milbertshofen - Am Hart",12.2,2538,20742,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"12 Schwabing - Freimann",14.2,3828,26981,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"13 Bogenhausen",15.7,5291,33754,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"14 Berg am Laim",12.6,1967,15638,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"15 Trudering - Riem",20.7,5023,24305,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"16 Ramersdorf - Perlach",14.3,5056,35253,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"17 Obergiesing - Fasangarten",11.9,2360,19870,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"18 Untergiesing - Harlaching",13.4,2967,22161,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",14.6,5155,35241,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"20 Hadern",14.4,2406,16729,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"21 Pasing - Obermenzing",17.8,5019,28274,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"22 Aubing - Lochhausen - Langwied",19.2,3146,16363,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"23 Allach - Untermenzing",21.2,2444,11518,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"24 Feldmoching - Hasenbergl",17.2,3067,17839,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2023,"25 Laim",10.5,2306,21981,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"Stadt München",14.2,79296,557613,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"01 Altstadt - Lehel",11.4,1011,8846,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"02 Ludwigsvorstadt - Isarvorstadt",11.7,2453,21009,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"03 Maxvorstadt",8.9,2029,22909,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"04 Schwabing - West",12.5,3632,29080,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"05 Au - Haidhausen",14.1,3651,25878,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"06 Sendling",12,2021,16888,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"07 Sendling - Westpark",12.5,2745,21994,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"08 Schwanthalerhöhe",12.3,1332,10810,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"09 Neuhausen - Nymphenburg",13.7,5393,39285,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"10 Moosach",13.5,2405,17779,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"11 Milbertshofen - Am Hart",12,2479,20657,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"12 Schwabing - Freimann",14.5,3842,26539,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"13 Bogenhausen",16,5385,33634,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"14 Berg am Laim",12.7,1971,15463,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"15 Trudering - Riem",21.4,5163,24080,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"16 Ramersdorf - Perlach",14.3,4991,34927,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"17 Obergiesing - Fasangarten",12.2,2408,19682,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"18 Untergiesing - Harlaching",13.5,2970,22013,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",14.6,5114,35024,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"20 Hadern",14.6,2422,16590,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"21 Pasing - Obermenzing",18,4987,27773,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"22 Aubing - Lochhausen - Langwied",19.2,3013,15708,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"23 Allach - Untermenzing",21.5,2443,11389,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"24 Feldmoching - Hasenbergl",17.4,3093,17800,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2022,"25 Laim",10.7,2343,21856,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2021,"Stadt München",14.1,79248,560305,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
